,dow,dom,month,year,in_demand,out_demand,prev_holy,pos_holy
215,1,1,2,2015,0.0,0.0,0,0
216,2,2,2,2015,415431159.0,409472784.0,0,0
217,3,3,2,2015,586767725.0,585667550.0,0,0
218,4,4,2,2015,472312039.0,473548734.0,0,0
219,5,5,2,2015,588265894.0,586847994.0,0,0
220,6,6,2,2015,592024910.0,592646885.0,0,0
221,7,7,2,2015,0.0,0.0,0,0
222,1,8,2,2015,0.0,0.0,0,0
223,2,9,2,2015,852365834.0,858935414.0,0,0
224,3,10,2,2015,611573323.0,612021203.0,0,0
225,4,11,2,2015,397666003.0,396670298.0,0,0
226,5,12,2,2015,328250648.0,322716648.0,0,0
227,6,13,2,2015,686600346.0,693081446.0,0,2
228,7,14,2,2015,0.0,0.0,0,0
229,1,15,2,2015,0.0,0.0,0,0
230,2,16,2,2015,0.0,0.0,0,0
231,3,17,2,2015,0.0,0.0,0,0
232,4,18,2,2015,710034189.0,709788839.0,2,0
233,5,19,2,2015,504325348.0,504393758.0,0,0
234,6,20,2,2015,426107052.0,427959067.0,0,0
235,7,21,2,2015,0.0,0.0,0,0
236,1,22,2,2015,0.0,0.0,0,0
237,2,23,2,2015,510165553.0,507747903.0,0,0
238,3,24,2,2015,503120195.0,504082870.0,0,0
239,4,25,2,2015,262635637.0,263779662.0,0,0
240,5,26,2,2015,377363883.0,376162158.0,0,0
241,6,27,2,2015,589668624.0,589951594.0,0,0
242,7,28,2,2015,0.0,0.0,0,0
243,1,1,3,2015,0.0,0.0,0,0
244,2,2,3,2015,524444230.0,519903575.0,0,0
245,3,3,3,2015,347924247.0,348920732.0,0,0
246,4,4,3,2015,278738317.0,278007892.0,0,0
247,5,5,3,2015,324140055.0,324559980.0,0,0
248,6,6,3,2015,700783157.0,699667132.0,0,0
249,7,7,3,2015,0.0,0.0,0,0
250,1,8,3,2015,0.0,0.0,0,0
251,2,9,3,2015,512990595.0,514690670.0,0,0
252,3,10,3,2015,466643595.0,466744370.0,0,0
253,4,11,3,2015,457343283.0,458370983.0,0,0
254,5,12,3,2015,410749409.0,409323934.0,0,0
255,6,13,3,2015,621945963.0,617146248.0,0,0
256,7,14,3,2015,0.0,0.0,0,0
257,1,15,3,2015,0.0,0.0,0,0
258,2,16,3,2015,547556921.0,548836336.0,0,0
259,3,17,3,2015,622202458.0,621370453.0,0,0
260,4,18,3,2015,549968169.0,551472904.0,0,0
261,5,19,3,2015,457310612.0,456374647.0,0,0
262,6,20,3,2015,702388907.0,708393592.0,0,2
263,7,21,3,2015,0.0,0.0,0,0
264,1,22,3,2015,0.0,0.0,0,0
265,2,23,3,2015,0.0,0.0,0,0
266,3,24,3,2015,0.0,0.0,0,0
267,4,25,3,2015,671654623.0,671739248.0,2,0
268,5,26,3,2015,513746970.0,513702515.0,0,0
269,6,27,3,2015,638576738.0,638281643.0,0,0
270,7,28,3,2015,0.0,0.0,0,0
271,1,29,3,2015,0.0,0.0,0,0
272,2,30,3,2015,589914165.0,584765490.0,0,1
273,3,31,3,2015,0.0,0.0,0,0
