,dow,dom,month,year,in_demand,out_demand,prev_holi,pos_holi
296,5,23,4,2015,2530392362.0,2456139414.0,0,0
297,6,24,4,2015,3701719041.0,4171651019.0,0,0
298,7,25,4,2015,0.0,0.0,0,0
299,1,26,4,2015,0.0,0.0,0,0
300,2,27,4,2015,4452957210.0,3435461828.0,0,0
301,3,28,4,2015,2939480212.0,3216464103.0,0,0
302,4,29,4,2015,3081186826.0,3173264268.0,0,0
303,5,30,4,2015,4798502376.0,5815893027.0,0,1
304,6,1,5,2015,0.0,0.0,0,0
305,7,2,5,2015,0.0,0.0,0,0
306,1,3,5,2015,0.0,0.0,0,0
307,2,4,5,2015,4593583729.0,4216664695.0,1,0
308,3,5,5,2015,3886571692.0,3509330819.0,0,0
309,4,6,5,2015,2146428246.0,2470670900.0,0,0
310,5,7,5,2015,2780622105.0,2644665435.0,0,0
311,6,8,5,2015,5356932040.0,5484646842.0,0,0
312,7,9,5,2015,0.0,0.0,0,0
313,1,10,5,2015,0.0,0.0,0,0
314,2,11,5,2015,5624554977.0,5619080340.0,0,0
315,3,12,5,2015,962257188.0,1002847513.0,0,0
316,4,13,5,2015,6255609054.0,6465664316.0,0,0
317,5,14,5,2015,4947540193.0,4980389225.0,0,0
318,6,15,5,2015,4946159571.0,4974959325.0,0,0
319,7,16,5,2015,0.0,0.0,0,0
320,1,17,5,2015,0.0,0.0,0,0
321,2,18,5,2015,3924262560.0,3725164828.0,0,0
322,3,19,5,2015,3325730831.0,3387853273.0,0,0
323,4,20,5,2015,3005885307.0,3044403098.0,0,0
324,5,21,5,2015,3621989883.0,3370110502.0,0,0
325,6,22,5,2015,3990655489.0,4093064608.0,0,1
326,7,23,5,2015,0.0,0.0,0,0
327,1,24,5,2015,0.0,0.0,0,0
328,2,25,5,2015,0.0,0.0,0,0
329,3,26,5,2015,699762175.0,771229600.0,1,0
330,4,27,5,2015,258714341.0,257510586.0,0,0
331,5,28,5,2015,5166848900.0,4667817106.0,0,0
332,6,29,5,2015,4191412038.0,4272653423.0,0,0
333,7,30,5,2015,0.0,0.0,0,0
334,1,31,5,2015,0.0,0.0,0,0
335,2,1,6,2015,5533960808.0,5182274244.0,0,0
336,3,2,6,2015,3692455290.0,3989889078.0,0,0
337,4,3,6,2015,3113088119.0,3450932733.0,0,0
338,5,4,6,2015,3371895728.0,3477690810.0,0,0
339,6,5,6,2015,4051007258.0,4241834108.0,0,0
340,7,6,6,2015,0.0,0.0,0,0
341,1,7,6,2015,0.0,0.0,0,0
342,2,8,6,2015,5037832438.0,4354266483.0,0,0
343,3,9,6,2015,2900000492.0,3110285841.0,0,0
344,4,10,6,2015,4239924158.0,4564740436.0,0,0
345,5,11,6,2015,4957864323.0,4756895343.0,0,0
346,6,12,6,2015,4817131525.0,5220413466.0,0,0
347,7,13,6,2015,0.0,0.0,0,0
348,1,14,6,2015,0.0,0.0,0,0
349,2,15,6,2015,4616838679.0,4185864117.0,0,0
350,3,16,6,2015,4151378225.0,4346152561.0,0,1
351,4,17,6,2015,0.0,0.0,0,0
352,5,18,6,2015,4517917920.0,4444573854.0,1,0
353,6,19,6,2015,4441977277.0,4641971783.0,0,0
354,7,20,6,2015,0.0,0.0,0,0
355,1,21,6,2015,0.0,0.0,0,0
356,2,22,6,2015,5041315867.0,4761897076.0,0,0
357,3,23,6,2015,3104070978.0,3114005529.0,0,0
358,4,24,6,2015,2959620664.0,2896250064.0,0,0
359,5,25,6,2015,3139951317.0,3339560746.0,0,0
360,6,26,6,2015,4109875533.0,4219146102.0,0,0
361,7,27,6,2015,0.0,0.0,0,0
362,1,28,6,2015,0.0,0.0,0,0
363,2,29,6,2015,4414016122.0,4126027952.0,0,0
