,in_demand,out_demand
569,540424428.0,538676528.0
570,385762207.0,387716032.0
571,0.0,0.0
572,0.0,0.0
573,793369572.0,792185647.0
574,394769406.0,396131831.0
575,410198973.0,407243298.0
576,638699368.0,638887768.0
577,647017048.0,649777198.0
578,0.0,0.0
579,0.0,0.0
580,634577515.0,630034515.0
581,542556453.0,544903008.0
582,492795975.0,491828020.0
583,771829792.0,773482767.0
584,601015765.0,601245165.0
585,0.0,0.0
586,0.0,0.0
587,0.0,0.0
588,0.0,0.0
589,1149138012.0,1146363967.0
590,667079244.0,668367804.0
591,871750011.0,871581441.0
592,0.0,0.0
593,0.0,0.0
594,608496659.0,607627884.0
595,542890543.0,543421243.0
596,473325675.0,474191580.0
597,629951456.0,629717916.0
598,518622390.0,518892340.0
599,0.0,0.0
600,0.0,0.0
601,601515717.0,602830872.0
602,478063228.0,474253333.0
603,449152286.0,452430306.0
604,471224305.0,469722205.0
605,870422882.0,872859592.0
606,0.0,0.0
607,0.0,0.0
608,673156476.0,675200026.0
609,587765083.0,585700858.0
610,828783567.0,840271617.0
611,656222443.0,653894268.0
612,709908757.0,705412182.0
613,0.0,0.0
614,0.0,0.0
615,551020544.0,553902369.0
616,911554856.0,910503656.0
617,604202525.0,607221290.0
618,4615220645.0,4616141855.0
619,696315828.0,696041153.0
620,0.0,0.0
621,0.0,0.0
622,813256258.0,813613143.0
623,658232435.0,658617490.0
624,876845251.0,876648901.0
625,528968514.0,530229719.0
626,653858438.0,652926918.0
627,0.0,0.0
628,0.0,0.0
629,607713738.0,606346763.0
630,685211126.0,683357411.0
631,515712059.0,507728384.0
632,0.0,0.0
633,0.0,0.0
634,0.0,0.0
635,0.0,0.0
636,599525015.0,608077430.0
637,642115810.0,641230035.0
638,760193263.0,762207438.0
639,661968994.0,661434019.0
640,1000526472.0,998468972.0
641,0.0,0.0
642,0.0,0.0
643,710860877.0,711183052.0
644,643916658.0,643040718.0
645,548680956.0,550492421.0
646,677150311.0,676017486.0
647,874380490.0,877514355.0
648,0.0,0.0
649,0.0,0.0
650,564584808.0,562898993.0
651,684812480.0,686837556.0
652,1188897094.0,1189848014.0
653,12000000.0,12320000.0
654,852085115.0,852502455.0
655,0.0,0.0
656,0.0,0.0
657,695016658.0,692910108.0
