,dow,dom,month,prev_holy,pos_holy,minfl
443,5,17,9,0,0,1.72
444,6,18,9,0,0,1.72
445,7,19,9,0,0,1.72
446,1,20,9,0,0,1.72
447,2,21,9,0,0,1.72
448,3,22,9,0,0,1.72
449,4,23,9,0,0,1.72
450,5,24,9,0,0,1.72
451,6,25,9,0,0,1.72
452,7,26,9,0,0,1.72
453,1,27,9,0,0,1.72
454,2,28,9,0,0,1.72
455,3,29,9,0,0,1.72
456,4,30,9,0,0,1.72
457,5,1,10,0,0,1.838
458,6,2,10,0,0,1.838
459,7,3,10,0,0,1.838
460,1,4,10,0,0,1.838
461,2,5,10,0,0,1.838
462,3,6,10,0,0,1.838
463,4,7,10,0,0,1.838
464,5,8,10,0,0,1.838
465,6,9,10,0,1,1.838
466,7,10,10,0,0,1.838
467,1,11,10,0,0,1.838
468,2,12,10,0,0,1.838
469,3,13,10,1,0,1.838
470,4,14,10,0,0,1.838
471,5,15,10,0,0,1.838
472,6,16,10,0,0,1.838
473,7,17,10,0,0,1.838
474,1,18,10,0,0,1.838
475,2,19,10,0,0,1.838
476,3,20,10,0,0,1.838
477,4,21,10,0,0,1.838
478,5,22,10,0,0,1.838
479,6,23,10,0,0,1.838
480,7,24,10,0,0,1.838
481,1,25,10,0,0,1.838
482,2,26,10,0,0,1.838
483,3,27,10,0,0,1.838
484,4,28,10,0,0,1.838
485,5,29,10,0,0,1.838
486,6,30,10,0,0,1.838
487,7,31,10,0,0,1.838
488,1,1,11,0,0,2.028
489,2,2,11,0,0,2.028
490,3,3,11,0,0,2.028
491,4,4,11,0,0,2.028
492,5,5,11,0,1,2.028
493,6,6,11,0,0,2.028
494,7,7,11,0,0,2.028
495,1,8,11,0,0,2.028
496,2,9,11,1,0,2.028
497,3,10,11,0,0,2.028
498,4,11,11,0,0,2.028
499,5,12,11,0,0,2.028
500,6,13,11,0,0,2.028
501,7,14,11,0,0,2.028
502,1,15,11,0,0,2.028
503,2,16,11,0,0,2.028
504,3,17,11,0,0,2.028
505,4,18,11,0,0,2.028
506,5,19,11,0,0,2.028
507,6,20,11,0,0,2.028
508,7,21,11,0,0,2.028
509,1,22,11,0,0,2.028
510,2,23,11,0,0,2.028
511,3,24,11,0,0,2.028
512,4,25,11,0,0,2.028
513,5,26,11,0,1,2.028
514,6,27,11,0,0,2.028
515,7,28,11,0,0,2.028
516,1,29,11,0,0,2.028
517,2,30,11,1,0,2.028
518,3,1,12,0,0,3.451
519,4,2,12,0,0,3.451
520,5,3,12,0,0,3.451
521,6,4,12,0,2,3.451
522,7,5,12,0,0,3.451
523,1,6,12,0,0,3.451
524,2,7,12,0,0,3.451
525,3,8,12,0,0,3.451
526,4,9,12,2,0,3.451
527,5,10,12,0,0,3.451
528,6,11,12,0,0,3.451
529,7,12,12,0,0,3.451
530,1,13,12,0,0,3.451
531,2,14,12,0,0,3.451
532,3,15,12,0,0,3.451
533,4,16,12,0,0,3.451
534,5,17,12,0,0,3.451
535,6,18,12,0,0,3.451
536,7,19,12,0,0,3.451
537,1,20,12,0,0,3.451
538,2,21,12,0,0,3.451
539,3,22,12,0,0,3.451
540,4,23,12,0,0,3.451
541,5,24,12,0,1,3.451
542,6,25,12,0,0,3.451
543,7,26,12,0,0,3.451
544,1,27,12,0,0,3.451
545,2,28,12,1,0,3.451
546,3,29,12,0,0,3.451
547,4,30,12,0,0,3.451
548,5,31,12,0,1,3.451
549,6,1,1,0,0,6.305
550,7,2,1,0,0,6.305
551,1,3,1,0,0,6.305
552,2,4,1,1,0,6.305
553,3,5,1,0,0,6.305
554,4,6,1,0,0,6.305
555,5,7,1,0,0,6.305
556,6,8,1,0,0,6.305
557,7,9,1,0,0,6.305
558,1,10,1,0,0,6.305
559,2,11,1,0,0,6.305
560,3,12,1,0,0,6.305
561,4,13,1,0,0,6.305
562,5,14,1,0,0,6.305
563,6,15,1,0,0,6.305
564,7,16,1,0,0,6.305
565,1,17,1,0,0,6.305
566,2,18,1,0,0,6.305
567,3,19,1,0,0,6.305
568,4,20,1,0,0,6.305
569,5,21,1,0,0,6.305
570,6,22,1,0,0,6.305
571,7,23,1,0,0,6.305
572,1,24,1,0,0,6.305
573,2,25,1,0,0,6.305
574,3,26,1,0,0,6.305
575,4,27,1,0,0,6.305
576,5,28,1,0,0,6.305
577,6,29,1,0,0,6.305
578,7,30,1,0,0,6.305
579,1,31,1,0,0,6.305
580,2,1,2,0,0,2.401
581,3,2,2,0,0,2.401
582,4,3,2,0,0,2.401
583,5,4,2,0,0,2.401
584,6,5,2,0,2,2.401
585,7,6,2,0,0,2.401
586,1,7,2,0,0,2.401
587,2,8,2,0,0,2.401
588,3,9,2,0,0,2.401
589,4,10,2,2,0,2.401
590,5,11,2,0,0,2.401
591,6,12,2,0,0,2.401
592,7,13,2,0,0,2.401
593,1,14,2,0,0,2.401
594,2,15,2,0,0,2.401
595,3,16,2,0,0,2.401
596,4,17,2,0,0,2.401
597,5,18,2,0,0,2.401
598,6,19,2,0,0,2.401
599,7,20,2,0,0,2.401
600,1,21,2,0,0,2.401
601,2,22,2,0,0,2.401
602,3,23,2,0,0,2.401
603,4,24,2,0,0,2.401
604,5,25,2,0,0,2.401
605,6,26,2,0,0,2.401
606,7,27,2,0,0,2.401
607,1,28,2,0,0,2.401
608,2,29,2,0,0,2.401
609,3,1,3,0,0,2.81
610,4,2,3,0,0,2.81
611,5,3,3,0,0,2.81
612,6,4,3,0,0,2.81
613,7,5,3,0,0,2.81
614,1,6,3,0,0,2.81
615,2,7,3,0,0,2.81
616,3,8,3,0,0,2.81
617,4,9,3,0,0,2.81
618,5,10,3,0,0,2.81
619,6,11,3,0,0,2.81
620,7,12,3,0,0,2.81
621,1,13,3,0,0,2.81
622,2,14,3,0,0,2.81
623,3,15,3,0,0,2.81
624,4,16,3,0,0,2.81
625,5,17,3,0,0,2.81
626,6,18,3,0,0,2.81
627,7,19,3,0,0,2.81
628,1,20,3,0,0,2.81
629,2,21,3,0,0,2.81
