"fecha";"dia_semana";"dia";"mes";"anio";"entradas";"salidas"
May 22 2015 12:00AM;6;22;5;2015;763282090.0;764931213.0
May 26 2015 12:00AM;3;26;5;2015;1201524597.0;1202181047.0
May 27 2015 12:00AM;4;27;5;2015;514417176.0;512983276.0
May 28 2015 12:00AM;5;28;5;2015;989106426.0;990378216.0
May 29 2015 12:00AM;6;29;5;2015;1153505283.0;1155059420.0
Jun 1 2015 12:00AM;2;1;6;2015;1112605946.0;1113829286.0
Jun 2 2015 12:00AM;3;2;6;2015;1251623745.0;1250975284.0
Jun 3 2015 12:00AM;4;3;6;2015;839627586.0;839434332.0
Jun 4 2015 12:00AM;5;4;6;2015;872578394.0;871380799.0
Jun 5 2015 12:00AM;6;5;6;2015;1051152840.0;1050809495.0
Jun 8 2015 12:00AM;2;8;6;2015;1207620067.0;1208016967.0
Jun 9 2015 12:00AM;3;9;6;2015;210801643.0;210847993.0
Jun 10 2015 12:00AM;4;10;6;2015;1315768370.0;1315985145.0
Jun 11 2015 12:00AM;5;11;6;2015;854201617.0;853966852.0
Jun 12 2015 12:00AM;6;12;6;2015;1080410930.0;1078988410.0
Jun 15 2015 12:00AM;2;15;6;2015;1181586164.0;1183509136.0
Jun 16 2015 12:00AM;3;16;6;2015;1157689022.0;1157646297.0
Jun 17 2015 12:00AM;4;17;6;2015;847771382.0;849888703.0
Jun 18 2015 12:00AM;5;18;6;2015;800488182.0;806485012.0
Jun 19 2015 12:00AM;6;19;6;2015;866605292.0;867671132.0
Jun 22 2015 12:00AM;2;22;6;2015;930524855.0;930872725.0
Jun 23 2015 12:00AM;3;23;6;2015;1141057114.0;1140145909.0
Jun 24 2015 12:00AM;4;24;6;2015;666822437.0;667081967.0
Jun 25 2015 12:00AM;5;25;6;2015;903286728.0;901717603.0
Jun 26 2015 12:00AM;6;26;6;2015;732171799.0;732212914.0
Jun 29 2015 12:00AM;2;29;6;2015;1087199470.0;1088404125.0
Jun 30 2015 12:00AM;3;30;6;2015;822854096.0;821826806.0
Jul 1 2015 12:00AM;4;1;7;2015;787359627.0;786368847.0
Jul 2 2015 12:00AM;5;2;7;2015;687857135.0;688340895.0
Jul 3 2015 12:00AM;6;3;7;2015;696447955.0;696965885.0
Jul 6 2015 12:00AM;2;6;7;2015;1420434884.0;1420782294.0
Jul 7 2015 12:00AM;3;7;7;2015;1174831350.0;1173916280.0
Jul 8 2015 12:00AM;4;8;7;2015;1044435315.0;1045411990.0
Jul 10 2015 12:00AM;6;10;7;2015;1061807085.0;1062105998.0
Jul 13 2015 12:00AM;2;13;7;2015;1239819878.0;1239772595.0
Jul 14 2015 12:00AM;3;14;7;2015;1208194021.0;1208846731.0
Jul 15 2015 12:00AM;4;15;7;2015;873669772.0;873731018.0
Jul 16 2015 12:00AM;5;16;7;2015;745554771.0;747331496.0
Jul 17 2015 12:00AM;6;17;7;2015;1018123556.0;1018550131.0
Jul 20 2015 12:00AM;2;20;7;2015;1183421308.0;1181834568.0
Jul 21 2015 12:00AM;3;21;7;2015;1002177179.0;1002431879.0
Jul 22 2015 12:00AM;4;22;7;2015;868839412.0;870260112.0
Jul 23 2015 12:00AM;5;23;7;2015;859043058.0;858752068.0
Jul 24 2015 12:00AM;6;24;7;2015;775060703.0;775974088.0
Jul 27 2015 12:00AM;2;27;7;2015;937146558.0;936478308.0
Jul 28 2015 12:00AM;3;28;7;2015;452272718.0;451680613.0
Jul 29 2015 12:00AM;4;29;7;2015;512892444.0;512701049.0
Jul 30 2015 12:00AM;5;30;7;2015;476762686.0;475464611.0
Jul 31 2015 12:00AM;6;31;7;2015;371447272.0;372769497.0
Aug 3 2015 12:00AM;2;3;8;2015;617199309.0;616558734.0
Aug 4 2015 12:00AM;3;4;8;2015;1052452341.0;1053251251.0
Aug 5 2015 12:00AM;4;5;8;2015;882101295.0;883032945.0
Aug 6 2015 12:00AM;5;6;8;2015;547962223.0;545981673.0
Aug 7 2015 12:00AM;6;7;8;2015;778882458.0;779744106.0
Aug 10 2015 12:00AM;2;10;8;2015;502649985.0;501588497.0
Aug 11 2015 12:00AM;3;11;8;2015;802999839.0;804044759.0
Aug 12 2015 12:00AM;4;12;8;2015;662360296.0;660489561.0
Aug 13 2015 12:00AM;5;13;8;2015;653162290.0;653998080.0
Aug 14 2015 12:00AM;6;14;8;2015;757423090.0;758770825.0
Aug 18 2015 12:00AM;3;18;8;2015;751725905.0;749975300.0
Aug 19 2015 12:00AM;4;19;8;2015;606062896.0;606437966.0
Aug 20 2015 12:00AM;5;20;8;2015;739359819.0;740127944.0
Aug 21 2015 12:00AM;6;21;8;2015;702937887.0;703050862.0
Aug 24 2015 12:00AM;2;24;8;2015;568007164.0;567919274.0
Aug 25 2015 12:00AM;3;25;8;2015;535343902.0;535844352.0
