,DATE,CASHD,ATMD,HOLIDAY
356,2016-02-20,0,3247450,1
357,2016-02-21,0,3247450,1
358,2016-02-22,-8745111,1586200,0
359,2016-02-23,-3334819,904000,0
360,2016-02-24,-3957582,2450600,0
361,2016-02-25,-3913668,1530300,0
362,2016-02-26,-3546987,8783450,0
363,2016-02-27,0,8783450,1
364,2016-02-28,0,8783450,1
365,2016-02-29,-6076538,3516400,0
366,2016-03-01,-3936978,2201000,0
367,2016-03-02,-4033671,3831150,0
368,2016-03-03,-5621358,3483300,0
369,2016-03-04,-2712203,8363450,0
370,2016-03-05,0,8363450,1
371,2016-03-06,0,8363450,1
372,2016-03-07,-8041111,2834000,0
373,2016-03-08,-5014708,1846350,0
374,2016-03-09,-5599625,3213600,0
375,2016-03-10,-8083436,2925150,0
376,2016-03-11,-6160569,4655800,0
377,2016-03-12,0,4655800,1
378,2016-03-13,0,4655800,1
379,2016-03-14,-10386692,1925800,0
380,2016-03-15,-5339833,1281250,0
381,2016-03-16,-6379734,3026900,0
382,2016-03-17,-4190837,1987850,0
383,2016-03-18,-5491714,3287150,0
384,2016-03-19,0,3287150,1
385,2016-03-20,0,3287150,1
386,2016-03-21,-8571681,1079350,0
387,2016-03-22,-4278744,2771700,0
388,2016-03-23,-5156073,3811550,0
389,2016-03-24,0,3811550,1
390,2016-03-25,0,3811550,1
391,2016-03-26,0,3811550,1
392,2016-03-27,0,3811550,1
393,2016-03-28,-11270776,1254300,0
394,2016-03-29,-4288107,770800,0
395,2016-03-30,-3782814,4551500,0
396,2016-03-31,-3352604,4985700,0
397,2016-04-01,-2073490,7548100,0
398,2016-04-02,0,7548100,1
399,2016-04-03,0,7548100,1
400,2016-04-04,-5935708,3237150,0
401,2016-04-05,-4939587,2161300,0
402,2016-04-06,-5100642,5301150,0
403,2016-04-07,-5558385,3649550,0
404,2016-04-08,-5059384,5433400,0
405,2016-04-09,0,5433400,1
406,2016-04-10,0,5433400,1
407,2016-04-11,-12716581,1915000,0
408,2016-04-12,-5562477,2124350,0
409,2016-04-13,-6370238,0,0
410,2016-04-14,0,4129650,1
411,2016-04-15,-9549542,4062900,0
412,2016-04-16,0,4062900,1
413,2016-04-17,0,4062900,1
414,2016-04-18,-10141025,1117200,0
415,2016-04-19,-4925410,3212450,0
416,2016-04-20,-7149158,0,0
417,2016-04-21,0,4140050,1
418,2016-04-22,-7929226,2419900,0
419,2016-04-23,0,2419900,1
420,2016-04-24,0,2419900,1
421,2016-04-25,-8276441,1246550,0
422,2016-04-26,-2159993,686800,0
423,2016-04-27,-2908005,1907100,0
424,2016-04-28,-4050583,1492600,0
425,2016-04-29,-2860281,11220000,0
426,2016-04-30,0,11220000,1
427,2016-05-01,0,11220000,1
428,2016-05-02,-7082584,4368700,0
429,2016-05-03,-4189199,2580900,0
430,2016-05-04,-4505819,4383800,0
431,2016-05-05,-5094686,4132050,0
432,2016-05-06,-4634660,7309150,0
433,2016-05-07,0,7309150,1
434,2016-05-08,0,7309150,1
435,2016-05-09,-8091393,2338600,0
436,2016-05-10,-6918669,2052400,0
437,2016-05-11,-5640513,3086750,0
438,2016-05-12,-5494566,2495050,0
439,2016-05-13,-4479184,3990800,0
440,2016-05-14,0,3990800,1
441,2016-05-15,0,3990800,1
442,2016-05-16,-9612934,1882700,0
443,2016-05-17,-5225059,1097450,0
444,2016-05-18,-4388583,3364200,0
445,2016-05-19,-4249917,2175700,0
446,2016-05-20,-4146208,3995100,0
447,2016-05-21,0,3995100,1
448,2016-05-22,0,3995100,1
449,2016-05-23,-8411137,967450,0
450,2016-05-24,-5228412,2755400,0
451,2016-05-25,0,2755400,1
452,2016-05-26,-3564262,1444500,0
453,2016-05-27,-4277361,2916900,0
454,2016-05-28,0,2916900,1
455,2016-05-29,0,2916900,1
456,2016-05-30,-7295207,4353950,0
457,2016-05-31,-2068194,5491950,0
458,2016-06-01,-2623862,4936200,0
459,2016-06-02,-3033960,4588350,0
460,2016-06-03,-3481136,10104800,0
461,2016-06-04,0,10104800,1
462,2016-06-05,0,10104800,1
