,dom,month,year,balance
463,7,10,2015,11222314.73
464,8,10,2015,14782750.96
465,9,10,2015,9485406.53
466,10,10,2015,19523241.299193546
467,11,10,2015,19523241.299193546
468,12,10,2015,19523241.299193546
469,13,10,2015,24164757.78
470,14,10,2015,17727879.71
471,15,10,2015,14131575.81
472,16,10,2015,10586334.11
473,17,10,2015,19486673.089681525
474,18,10,2015,19486673.089681525
475,19,10,2015,19291854.01
476,20,10,2015,13298232.58
477,21,10,2015,11182115.12
478,22,10,2015,11400031.77
479,23,10,2015,11868187.75
480,24,10,2015,19391397.402476486
481,25,10,2015,19391397.402476486
482,26,10,2015,12570528.3
483,27,10,2015,12288478.55
484,28,10,2015,12260351.5
485,29,10,2015,16259945.4
486,30,10,2015,8064736.76
487,31,10,2015,19281789.542901233
488,1,11,2015,19281789.542901233
489,2,11,2015,12165004.07
490,3,11,2015,13483951.9
491,4,11,2015,14584517.17
492,5,11,2015,10290859.22
493,6,11,2015,19200683.36664634
494,7,11,2015,19200683.36664634
495,8,11,2015,19200683.36664634
496,9,11,2015,16694296.62
497,10,11,2015,15504433.88
498,11,11,2015,14904568.45
499,12,11,2015,12275825.83
500,13,11,2015,11108228.2
501,14,11,2015,19124058.550270267
502,15,11,2015,19124058.550270267
503,16,11,2015,17116670.21
504,17,11,2015,13591650.37
505,18,11,2015,12301329.92
506,19,11,2015,11503591.68
507,20,11,2015,7529626.77
508,21,11,2015,19024717.059733726
509,22,11,2015,19024717.059733726
510,23,11,2015,9302516.48
511,24,11,2015,10045605.89
512,25,11,2015,13043723.28
513,26,11,2015,10622194.1
514,27,11,2015,18927977.795146197
515,28,11,2015,18927977.795146197
516,29,11,2015,18927977.795146197
517,30,11,2015,16340303.85
518,1,12,2015,11127224.92
519,2,12,2015,9179074.68
520,3,12,2015,18595944.95
521,4,12,2015,10952485.76
522,5,12,2015,18846004.150144093
523,6,12,2015,18846004.150144093
524,7,12,2015,18846004.150144093
525,8,12,2015,18846004.150144093
526,9,12,2015,15674884.68
527,10,12,2015,10911267.03
528,11,12,2015,8712505.6
529,12,12,2015,18785320.27831429
530,13,12,2015,18785320.27831429
531,14,12,2015,16820006.83
532,15,12,2015,16361708.04
533,16,12,2015,14410169.87
534,17,12,2015,15912364.3
535,18,12,2015,8486911.52
536,19,12,2015,18723530.304140847
537,20,12,2015,18723530.304140847
538,21,12,2015,10209138.02
539,22,12,2015,16777312.1
540,23,12,2015,13543635.19
541,24,12,2015,11082435.03
542,25,12,2015,18658679.048217274
543,26,12,2015,18658679.048217274
544,27,12,2015,18658679.048217274
545,28,12,2015,14630838.73
546,29,12,2015,16803549.46
547,30,12,2015,16363397.26
548,31,12,2015,18236696.66
549,1,1,2016,18634986.943305787
550,2,1,2016,18634986.943305787
551,3,1,2016,18634986.943305787
552,4,1,2016,24902408.65
553,5,1,2016,14104470.22
554,6,1,2016,12112369.58
555,7,1,2016,14861086.58
556,8,1,2016,11176942.94
557,9,1,2016,18591460.70214674
558,10,1,2016,18591460.70214674
559,11,1,2016,15704179.7
560,12,1,2016,10207807.62
561,13,1,2016,11276285.86
562,14,1,2016,12852458.57
563,15,1,2016,8984088.46
564,16,1,2016,18500488.897050936
565,17,1,2016,18500488.897050936
566,18,1,2016,16788378.96
567,19,1,2016,14747662.55
568,20,1,2016,13896050.36
569,21,1,2016,15200147.15
570,22,1,2016,10849769.05
571,23,1,2016,18444879.276904758
572,24,1,2016,18444879.276904758
573,25,1,2016,13425556.38
574,26,1,2016,14281611.74
575,27,1,2016,9157705.07
576,28,1,2016,8054209.01
577,29,1,2016,6733123.52
578,30,1,2016,18338946.664203655
579,31,1,2016,18338946.664203655
580,1,2,2016,16157235.3
581,2,2,2016,16539305.85
582,3,2,2016,11682122.7
583,4,2,2016,15913699.98
584,5,2,2016,9582839.21
585,6,2,2016,18282710.761417523
586,7,2,2016,18282710.761417523
587,8,2,2016,18282710.761417523
588,9,2,2016,18282710.761417523
589,10,2,2016,17335863.08
590,11,2,2016,14887972.06
591,12,2,2016,10068182.2
592,13,2,2016,18250597.935473144
593,14,2,2016,18250597.935473144
594,15,2,2016,9144506.78
595,16,2,2016,9253897.11
596,17,2,2016,7278536.04
597,18,2,2016,7482718.32
598,19,2,2016,8614749.7
599,20,2,2016,18125652.0220202
600,21,2,2016,18125652.0220202
601,22,2,2016,8809543.76
602,23,2,2016,6022219.19
603,24,2,2016,7669093.97
604,25,2,2016,8791725.72
605,26,2,2016,8611254.3
606,27,2,2016,17999157.201147128
607,28,2,2016,17999157.201147128
608,29,2,2016,13545266.2
609,1,3,2016,13357048.31
610,2,3,2016,13979693.87
611,3,3,2016,14434723.69
612,4,3,2016,9548362.69
613,5,3,2016,17937258.946847286
614,6,3,2016,17937258.946847286
615,7,3,2016,12482958.98
616,8,3,2016,10504395.37
617,9,3,2016,11323460.63
618,10,3,2016,12482340.75
619,11,3,2016,10589377.49
620,12,3,2016,17858660.98695863
621,13,3,2016,17858660.98695863
622,14,3,2016,12829629.11
623,15,3,2016,11035967.5
624,16,3,2016,9606478.19
625,17,3,2016,9039474.27
626,18,3,2016,9361407.57
627,19,3,2016,17768708.226634607
628,20,3,2016,17768708.226634607
629,21,3,2016,13263032.2
630,22,3,2016,14403934.5
631,23,3,2016,7938810.45
632,24,3,2016,17726463.96045345
633,25,3,2016,17726463.96045345
634,26,3,2016,17726463.96045345
635,27,3,2016,17726463.96045345
636,28,3,2016,13256377.7
637,29,3,2016,13379578.47
638,30,3,2016,12979400.7
639,31,3,2016,10990726.63
640,1,4,2016,11284701.08
641,2,4,2016,17663394.30191037
642,3,4,2016,17663394.30191037
643,4,4,2016,13376078.8
644,5,4,2016,11327328.86
645,6,4,2016,10721681.54
646,7,4,2016,11727478.26
647,8,4,2016,11357253.57
648,9,4,2016,17593913.764661994
649,10,4,2016,17593913.764661994
650,11,4,2016,9748384.89
651,12,4,2016,11837275.71
652,13,4,2016,9059389.43
653,14,4,2016,10498985.18
654,15,4,2016,10105781.89
655,16,4,2016,17509306.04179723
656,17,4,2016,17509306.04179723
657,18,4,2016,12925276.9
658,19,4,2016,10257835.42
659,20,4,2016,6037243.81
660,21,4,2016,10309976.16
661,22,4,2016,9572519.44
662,23,4,2016,17421735.020205006
663,24,4,2016,17421735.020205006
664,25,4,2016,13574648.08
665,26,4,2016,10481790.31
666,27,4,2016,9263101.01
667,28,4,2016,11080896.23
668,29,4,2016,10720009.02
669,30,4,2016,17349689.45612612
670,1,5,2016,17349689.45612612
671,2,5,2016,15461777.09
672,3,5,2016,13119608.52
673,4,5,2016,15223958.98
674,5,5,2016,16241365.47
675,6,5,2016,6752870.97
676,7,5,2016,17305259.90991091
677,8,5,2016,17305259.90991091
678,9,5,2016,12788209.52
679,10,5,2016,11491060.62
680,11,5,2016,10769915.12
681,12,5,2016,11971460.72
682,13,5,2016,13315634.84
683,14,5,2016,17247572.64398678
684,15,5,2016,17247572.64398678
685,16,5,2016,13219138.87
686,17,5,2016,11270848.2
687,18,5,2016,11706384.52
688,19,5,2016,11214358.41
689,20,5,2016,9409077.36
690,21,5,2016,17183481.019019604
691,22,5,2016,17183481.019019604
692,23,5,2016,13347659.47
693,24,5,2016,9819260.46
694,25,5,2016,17159185.91683297
695,26,5,2016,12365793.64
696,27,5,2016,10022861.55
697,28,5,2016,17133419.790172786
698,29,5,2016,17133419.790172786
699,30,5,2016,14762771.59
700,31,5,2016,13736268.21
701,1,6,2016,13992408.45
702,2,6,2016,14407802.75
703,3,6,2016,11622250.4
704,4,6,2016,17096783.897970084
705,5,6,2016,17096783.897970084
706,6,6,2016,13400874.35
707,7,6,2016,12804527.29
708,8,6,2016,10345750.02
709,9,6,2016,13394208.26
710,10,6,2016,9889944.53
711,11,6,2016,17042558.496194504
712,12,6,2016,17042558.496194504
713,13,6,2016,11472408.27
714,14,6,2016,11079875.73
715,15,6,2016,13986818.16
716,16,6,2016,7875529.73
717,17,6,2016,16992756.395366874
718,18,6,2016,16992756.395366874
719,19,6,2016,16992756.395366874
720,20,6,2016,16992756.395366874
721,21,6,2016,14358000.14
722,22,6,2016,9626356.85
723,23,6,2016,11721417.21
724,24,6,2016,9307997.42
725,25,6,2016,16945028.216652807
726,26,6,2016,16945028.216652807
727,27,6,2016,11055171.1
728,28,6,2016,12543399.14
729,29,6,2016,9126272.57
730,30,6,2016,12129287.78
731,1,7,2016,9307620.38
732,2,7,2016,16882140.5826749
733,3,7,2016,16882140.5826749
734,4,7,2016,14849203.84
735,5,7,2016,15491394.74
736,6,7,2016,13275018.7
737,7,7,2016,11061892.18
738,8,7,2016,16855913.944163267
739,9,7,2016,16855913.944163267
740,10,7,2016,16855913.944163267
741,11,7,2016,9187836.67
742,12,7,2016,12465562.56
743,13,7,2016,10459410.93
744,14,7,2016,11354009.55
745,15,7,2016,10552387.07
746,16,7,2016,16794781.897818185
747,17,7,2016,16794781.897818185
748,18,7,2016,9873655.57
749,19,7,2016,8514149.7
